OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
threads,close,6609,2474136,13150252,660
threads,spread,6542,2474073,13040009,661
x,x,159787,146930399,704190853,32029
sockets,master,6985,2473693,28448492,661
sockets,close,7647,2473744,43228692,661
sockets,spread,11415,2474071,42891211,660
cores,master,39030,2473681,43007336,663
cores,close,5731,2473834,43206250,660
cores,spread,9455,2473962,42593046,660
threads,master,37074,2473684,42624469,663
threads,close,6169,2474129,13454914,660
threads,spread,6892,2474076,12890357,661
x,x,464861,146930399,704180594,32029
sockets,master,7941,2473892,28726676,661
sockets,close,9470,2473744,42833432,660
sockets,spread,7860,2473872,42695025,660
cores,master,29717,2473687,41601875,661
cores,close,5707,2474033,43202295,660
cores,spread,9002,2474161,43229587,660
threads,master,32976,2473681,42625608,663
threads,close,6537,2474136,13003718,660
threads,spread,5307,2474073,12860010,660
x,x,463523,146930399,704180720,32029
sockets,master,7839,2473687,28047418,662
sockets,close,8429,2473744,43384648,660
sockets,spread,11333,2473872,42544626,660
cores,master,34008,2473684,41744044,660
cores,close,9988,2473834,42667464,660
cores,spread,8403,2473962,43260270,660
threads,master,32952,2473684,42744475,663
threads,close,6734,2474136,12499411,660
threads,spread,6878,2474069,13418102,661
x,x,525404,146930399,704184752,32029
sockets,master,7020,2473696,28685309,661
sockets,close,13463,2473943,41731326,660
sockets,spread,12987,2473872,42234570,660
cores,master,40508,2473678,43037330,662
cores,close,7869,2474039,41308694,662
cores,spread,9126,2474161,42968982,660
threads,master,30406,2473681,42767427,663
threads,close,7062,2474139,12287944,660
threads,spread,6159,2474088,12496338,660
x,x,390174,146930399,704190961,32029
sockets,master,8900,2473880,28275478,660
sockets,close,9194,2473946,42550901,660
sockets,spread,8447,2473872,42672980,660
cores,master,40992,2473681,42755871,660
cores,close,5686,2473834,43303690,660
cores,spread,6761,2473965,42932283,662
threads,master,32101,2473681,42670743,663
threads,close,6748,2474133,13710183,660
threads,spread,6237,2474073,13344001,660
x,x,152654,146930399,704185962,32029
sockets,master,9440,2473690,28097980,661
sockets,close,9443,2473744,42916218,660
sockets,spread,9597,2473872,42728079,661
cores,master,34125,2473681,43124825,662
cores,close,8557,2474037,29609991,660
cores,spread,5969,2473962,43322315,660
threads,master,37216,2473681,42775978,663
threads,close,7079,2474133,12347909,660
threads,spread,15763,2474073,17159145,662
x,x,433064,146930399,704180221,32029
sockets,master,6977,2473690,28524993,662
sockets,close,9669,2473744,42909096,660
sockets,spread,10666,2474071,42620023,660
cores,master,40980,2473681,42538239,663
cores,close,6875,2474033,43226538,660
cores,spread,7165,2473962,43282420,660
threads,master,34383,2473681,42789166,663
threads,close,6484,2474142,12281759,660
threads,spread,6044,2474076,12300255,660
x,x,197723,146930399,704180644,32030
sockets,master,7842,2473687,28290307,660
sockets,close,8236,2473744,42921655,660
sockets,spread,10516,2474071,42164009,660
cores,master,34500,2473678,43434518,665
cores,close,5920,2473834,43357770,660
cores,spread,6896,2473962,43253387,661
