OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
cores,spread,486459,5137833,32893975,755
threads,master,474770,5137549,32843479,760
threads,close,487451,5137801,28802381,755
threads,spread,485249,5137741,29392742,755
x,x,30805139,327680862,1781780701,40000
sockets,master,486537,5137549,30923167,755
sockets,close,487377,5137615,32560026,755
sockets,spread,485010,5137743,32639533,755
cores,master,484083,5137549,32961069,755
cores,close,485324,5137705,32961223,755
cores,spread,485259,5137833,32933445,755
threads,master,473133,5137549,32830210,759
threads,close,486088,5137801,29108799,755
threads,spread,486082,5137741,28836614,755
x,x,30805615,327680862,1781774102,40001
sockets,master,486389,5137549,30695222,755
sockets,close,486083,5137615,32572920,756
sockets,spread,485383,5137743,32720671,756
cores,master,485323,5137549,32278772,759
cores,close,485323,5137705,32892634,755
cores,spread,485436,5137833,32912279,755
threads,master,468894,5137549,32852355,759
threads,close,486643,5137801,29393686,756
threads,spread,485371,5137747,28817154,755
x,x,30807607,327680862,1781781358,40001
sockets,master,487267,5137549,32960024,755
sockets,close,483384,5137618,32371106,755
sockets,spread,485500,5137743,32853543,755
cores,master,485201,5137549,32960653,760
cores,close,486382,5137705,32961106,756
cores,spread,485875,5137833,32912538,755
threads,master,474084,5137549,32835414,759
threads,close,486355,5137801,29198647,755
threads,spread,485377,5137744,29139683,755
x,x,30807651,327680862,1781774408,40000
sockets,master,484859,5137549,30837830,756
sockets,close,485655,5137615,32532684,755
sockets,spread,486373,5137743,32592679,755
cores,master,483783,5137549,32955687,756
cores,close,485738,5137705,32947418,755
cores,spread,485595,5137833,32961351,755
threads,master,474838,5137549,32860943,759
threads,close,485363,5137801,28825699,755
threads,spread,484586,5137741,29390687,755
x,x,30810387,327680862,1781780977,40000
sockets,master,485561,5137549,32864409,758
sockets,close,485863,5137618,32390131,755
sockets,spread,485967,5137743,32663080,755
cores,master,485560,5137549,32323561,755
cores,close,486993,5137705,32961077,755
cores,spread,485946,5137833,32960345,755
threads,master,475244,5137549,32877925,759
threads,close,484685,5137801,29119271,755
threads,spread,485816,5137741,28827080,755
x,x,30807197,327680862,1781774309,40000
sockets,master,485610,5137549,30967179,758
sockets,close,486163,5137615,32514852,755
sockets,spread,485720,5137743,32582872,755
cores,master,480935,5137549,32961446,756
cores,close,484758,5137705,32930376,755
cores,spread,485608,5137833,32863291,755
threads,master,474827,5137549,32867524,759
threads,close,486011,5137801,29562229,755
threads,spread,489794,5137745,29292647,755
x,x,30805824,327680862,1781781765,40000
sockets,master,486696,5137549,31384602,756
sockets,close,486292,5137615,32564743,755
sockets,spread,487232,5137743,32522120,755
cores,master,485794,5137549,32960120,759
cores,close,485591,5137705,32960987,755
cores,spread,485279,5137833,32882691,756
