OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_SR_INS,PAPI_LD_INS,PAGE-FAULTS
sockets,close,1934395,9618018,89619552,1995
sockets,spread,1937649,9618143,89700157,1997
cores,master,1935305,9617949,89918332,2006
cores,close,1938835,9618105,89911279,1995
cores,spread,1936440,9618233,89909872,1995
threads,master,1881809,9617949,89923301,1999
threads,close,1939023,9618201,86416841,1995
threads,spread,1940547,9618141,86662247,1995
x,x,123329307,614401226,5427241703,120000
sockets,master,1941076,9617949,89519316,1997
sockets,close,1939603,9618015,89468687,1995
sockets,spread,1937511,9618143,89531052,1995
cores,master,1940604,9617949,89921123,2003
cores,close,1936832,9618105,89920412,1996
cores,spread,1939246,9618233,89866231,1995
threads,master,1878758,9617949,89677025,2003
threads,close,1935770,9618201,86071691,1995
threads,spread,1939172,9618141,88844983,1995
x,x,123337155,614401226,5427242925,120000
sockets,master,1934688,9617949,88966991,1997
sockets,close,1937109,9618015,89611919,1995
sockets,spread,1935030,9618143,89487155,1995
cores,master,1928791,9617949,89805973,1995
cores,close,1936923,9618105,89917631,1995
cores,spread,1938703,9618233,89920645,1995
threads,master,1878345,9617949,89911579,1999
threads,close,1941583,9618201,86401096,1995
threads,spread,1940797,9618141,86061381,1995
x,x,123339418,614401226,5427235397,120000
sockets,master,1941421,9617949,89917251,1995
sockets,close,1940400,9618015,89832658,1995
sockets,spread,1937775,9618143,89868141,1995
cores,master,1934536,9617949,89919670,2001
cores,close,1936097,9618105,89920227,1995
cores,spread,1938862,9618233,89915933,1995
threads,master,1879460,9617949,89923525,1997
threads,close,1938609,9618201,86402787,1995
threads,spread,1937307,9618141,86087732,1995
x,x,123324079,614401226,5427280777,120001
sockets,master,1940029,9617949,89918664,1999
sockets,close,1937503,9618018,89382489,1996
sockets,spread,1941832,9618143,89787110,1995
cores,master,1934382,9617949,89917736,2004
cores,close,1941555,9618105,89920171,1996
cores,spread,1939279,9618233,89920573,1995
threads,master,1883432,9617949,89921548,1998
threads,close,1946610,9618201,86953916,1995
threads,spread,1936414,9618141,86413561,1995
x,x,123344920,614401226,5426692072,120000
sockets,master,1933040,9617949,88432310,1998
sockets,close,1939161,9618015,89558911,1995
sockets,spread,1942900,9618143,89412133,1996
cores,master,1934864,9617949,89792159,1996
cores,close,1936327,9618105,89916344,1995
cores,spread,1937856,9618233,89841409,1995
threads,master,1879080,9617949,89923641,1999
threads,close,1939319,9618201,86704928,1995
threads,spread,1932680,9618141,86161093,1996
x,x,123336997,614401226,5426579102,120000
sockets,master,1947482,9617949,89917969,1995
sockets,close,1936345,9618015,89558339,1995
