OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,close,137989715,18188595416,32158141,95985,72246,131627,14166,3426
cores,spread,138011111,18402096675,32385904,90213,67620,153255,15748,2863
threads,master,4459628774,16407060234,32323540,167078,167017,195843,3,93
threads,close,85766442,6940726755,30210920,80133,65769,243959,10921,2355
threads,spread,89497107,7182647533,43946345,100996,77469,69779,11930,2787
x,x,454126619,1517464834,32984853,155190,150968,365692,3,0
sockets,master,153971993,12394088506,35408527,128033,119810,330731,77,105
sockets,close,167148012,17729268984,34377867,94663,86392,195781,4240,1021
sockets,spread,173212393,17528759570,31966863,88624,84529,141407,3324,1061
cores,master,2243774997,16812248641,32696097,142066,136620,172358,3,74
cores,close,140566203,17709800726,31546169,86898,71135,190493,17172,1915
cores,spread,140229002,18045097595,32764752,95260,75532,113785,14027,2406
threads,master,4391160913,16659881769,32212676,170087,168748,205068,17,109
threads,close,141568594,15326145542,39883052,111885,81186,131335,14740,2583
threads,spread,87476765,9128025320,44676465,81714,48565,230119,16747,4492
x,x,457185332,1505287682,33208309,161554,156745,321906,384,0
sockets,master,158416779,13030905370,35020798,134141,123403,346384,137,180
sockets,close,156763991,17532420182,34836149,97318,89162,108847,3825,869
sockets,spread,155341663,17709834545,32770538,90979,84123,186774,3896,973
cores,master,2480329520,18588080578,32601085,157789,155596,161800,303,67
cores,close,140084627,18108034441,32512130,95961,76198,118327,14641,2247
cores,spread,138966645,17862767327,32240793,92130,75656,104683,14350,2322
threads,master,4325303340,16341857626,32931207,166038,165960,208702,714,101
threads,close,88021330,6638683659,27052571,102570,94798,299566,6657,911
threads,spread,85573765,5941110887,44394290,110049,75035,42458,9803,2483
x,x,459907808,1475056530,32684739,157722,156374,350472,379,0
sockets,master,151966956,12878075132,34937323,126266,116825,313487,123,102
sockets,close,151015826,17775982387,32742756,92798,85510,141099,4017,998
sockets,spread,163909384,18148090900,34973567,102130,88167,86275,3522,996
cores,master,2580301525,19430694757,33096987,159614,160145,157785,316,42
cores,close,137753514,17641523524,31622497,93923,72457,91327,15603,2490
cores,spread,138594716,17469096359,30935865,82057,68177,180969,17180,2419
threads,master,4419666888,16762503908,32454021,171528,168556,195498,6,94
threads,close,85520955,6643993117,34887038,99339,88817,69292,7966,1470
threads,spread,67440429,6455989249,26561321,72717,60706,435946,7663,1942
x,x,461693167,1506636551,32963360,159836,153900,316423,0,0
sockets,master,241840913,18692524480,33747073,149487,144470,274866,491,174
sockets,close,157155835,18529311435,36337077,98334,89305,121873,4497,1358
