OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
cores,spread,602197751,97658877127,3287825,15154,3142,1076,7249,9414
threads,master,24966526650,92954572785,2999068,12448,9300,2192,96,389
threads,close,74387268,7288600791,4215297,16404,2382,721,7077,6547
threads,spread,71465147,8380663780,4330876,12724,1816,2368,10419,21324
x,x,189990471,538016451,2429658,4805,1711,124,0,0
sockets,master,1190797043,98731311891,3343750,7049,4036,1358,426,983
sockets,close,632594177,100668180094,3437112,10406,2272,704,4241,3760
sockets,spread,644944995,99403573805,3482768,10245,1996,334,4647,3439
cores,master,13867650446,102321251043,3194533,7552,4912,1871,103,504
cores,close,601868212,98000200452,3347971,14941,3121,674,8158,9326
cores,spread,605811855,98598630512,3421828,14622,3008,823,8661,9863
threads,master,25193886053,93390281741,3052755,10243,6967,1440,107,349
threads,close,170770493,4759185125,2951230,12528,2676,1860,11592,16788
threads,spread,62589713,4466765703,2255738,17352,3698,378,9140,8871
x,x,190285129,537492567,2487545,5433,1686,76,0,0
sockets,master,1201131489,99190508494,3430695,7433,3825,918,24,1325
sockets,close,613838181,98241576465,3465636,9763,2248,1173,4218,2845
sockets,spread,635570397,97427628454,3346861,10348,2801,1236,4744,2636
cores,master,13836333493,101893587949,3300956,12043,8499,2652,17,519
cores,close,620463100,98867459095,3455954,16766,3939,955,7695,11365
cores,spread,605380570,97318282586,3279532,10627,2572,1007,8645,9632
threads,master,25152917857,93631377340,2972056,7902,6937,1869,116,469
threads,close,84670522,6334133601,4471404,20183,2449,389,4305,6044
threads,spread,68667188,6192033269,4599512,17097,1874,1020,6438,12266
x,x,193220191,529877482,2426141,5092,1991,142,3,0
sockets,master,1192735865,99823881486,3428479,7623,4189,2050,52,1031
sockets,close,628831552,99026981473,3335664,8314,2052,588,4554,3635
sockets,spread,632297615,98442082687,3591967,9175,1973,1057,4339,2664
cores,master,13822909348,102733490363,3192911,8940,5497,2066,445,565
cores,close,607246366,97537122776,3313388,15249,3550,904,6309,10872
cores,spread,601472468,98125092549,3327992,14083,3061,804,7854,10019
threads,master,24982358988,92737007780,3068372,13792,10520,2245,452,473
threads,close,56906950,4707567107,1799923,11110,2863,1540,10766,8775
threads,spread,73133418,7497006539,2151927,18920,2154,434,3932,2293
x,x,245067623,743896736,2564772,5207,1954,3,3,0
sockets,master,1187137283,99363309045,3512173,7070,3662,1037,24,1217
sockets,close,624278324,99322241661,3479621,12828,2651,395,6498,4192
sockets,spread,618076258,98194618026,3602356,9497,1942,859,4081,2761
cores,master,13799032343,102807578379,3188045,8543,5398,1848,427,532
